MOVIE_ID,totCnt,MovieCd,MovieNm(csv),movieNm(api),showTm,prdtYear,openDt,typeNm,nationNm,genreNm,watchGrade
0,1.0,19920082,걸어서하늘까지,걸어서 하늘까지,116.0,1992.0,19920523.0,장편,한국,드라마,연소자관람불가
1,1.0,20175865,너와극장에서,너와 극장에서,79.0,2017.0,20180628.0,옴니버스,한국,드라마,12세이상관람가
2,1.0,20154905,가려진시간,가려진 시간,129.0,2016.0,20161116.0,장편,한국,드라마,12세이상관람가
3,6.0,,그링고,,,,,,,,
4,31.0,,스위치,,,,,,,,
5,2.0,,국도극장,,,,,,,,
6,1.0,20020199,맨인블랙2,맨 인 블랙 2,88.0,2002.0,20020710.0,장편,미국,SF,12세관람가
8,1.0,20209222,곤조는못말려,곤조는 못말려,99.0,2010.0,,장편,미국,코미디,
9,0.0,,손오공색즉시공,,,,,,,,
10,1.0,20156181,13이어리,13 이어리,85.0,2013.0,20150121.0,장편,캐나다,공포(호러),청소년관람불가
11,1.0,20156207,앵그리버드더무비,앵그리버드 더 무비,97.0,2016.0,20160519.0,장편,미국,애니메이션,전체관람가
12,0.0,,백조공주왕실결혼식,,,,,,,,
13,1.0,20142158,좀비들의도시베가스,좀비들의 도시 베가스,88.0,2011.0,,장편,미국,액션,
14,1.0,20182403,크레이지리치아시안,크레이지 리치 아시안,120.0,2018.0,20181025.0,장편,미국,멜로/로맨스,12세이상관람가
15,0.0,,신정무문2뇌전영웅,,,,,,,,
16,21.0,,벌룬,,,,,,,,
17,0.0,,뤽베송의마지막전투,,,,,,,,
18,1.0,20205366,프리댄스,프리댄스,103.0,2018.0,,장편,루마니아,멜로/로맨스,
19,1.0,20048059,미키의크리스마스선물,미키의 크리스마스 선물,67.0,2004.0,,장편,미국,애니메이션,전체관람가
20,1.0,20050228,보글보글스폰지밥,보글보글 스폰지밥(애니),87.0,2004.0,20050930.0,장편,미국,애니메이션,전체관람가
21,9.0,,오버로드,,,,,,,,
22,0.0,,철권블러드벤젠스,,,,,,,,
23,1.0,20050110,연애의목적,연애의 목적,121.0,2005.0,20050610.0,장편,한국,드라마,18세관람가
24,1.0,2022A564,블랙클랜스맨,블랙클랜스맨,,2018.0,,온라인전용,미국,코미디,
25,1.0,20189866,나이트메어비긴즈,나이트메어 비긴즈,93.0,2017.0,20180901.0,장편,영국,공포(호러),15세이상관람가
26,1.0,20172404,올드마린보이,올드마린보이,84.0,2017.0,20171102.0,장편,한국,다큐멘터리,전체관람가
27,4.0,,마법에걸린사랑,,,,,,,,
28,4.0,,바이더씨,,,,,,,,
29,0.0,,디즈니네이쳐베어,,,,,,,,
30,1.0,20203163,윙오브스틸,윙 오브 스틸,100.0,2018.0,,장편,체코,드라마,
31,1.0,20209467,전설의파이터,전설의 파이터,89.0,2020.0,20200616.0,장편,한국,액션,청소년관람불가
32,1.0,20132063,포레스트로빈후드,포레스트 로빈후드,93.0,2009.0,,장편,캐나다,액션,
33,1.0,20191106,영화로운나날,영화로운 나날,86.0,2019.0,20191212.0,장편,한국,멜로/로맨스,12세이상관람가
34,2.0,,소시민,,,,,,,,
36,9.0,,촉산,,,,,,,,
37,1.0,20110656,슈퍼에이트,슈퍼 에이트,112.0,2011.0,20110616.0,장편,미국,SF,12세이상관람가
38,1.0,20177845,지워야산다,지워야 산다,72.0,2017.0,20171123.0,장편,한국,범죄,청소년관람불가
39,0.0,,얼굴없는보스못다한이야기,,,,,,,,
40,1.0,20166602,그대이름은장미,그대 이름은 장미,125.0,2016.0,20190116.0,장편,한국,코미디,12세이상관람가
